fips,county,state,longitude,latitude,population,cases_total,imported,local,unvaccinated or unknown,unvaccinated,unknown,vaccinated,vaccination granularity,less than four,five to seventeen,adult,age unknown/pending,mmr_rate,mmr_type,date,outbreak,notes,link,unnamed: 19
1,North,Alabama,-86.8529,34.4535,123742,1,1,0,1,0,0,0,county,1,0,0,0,,,8/25/25,,a child under 5 years of age living in North Alabama has been confirmed to have measles. The unvaccinated child contracted measles while traveling out of the United States. ,https://www.alabamapublichealth.gov/blog/2025/08/nr-25.html,
2020,Anchorage,Alaska,-149.1082,61.1498,289069,3,2,1,0,2,1,0,county,0,1,1,1,,,10/16/25,,"This individual traveled to the Municipality of Anchorage on Monday, October 13, 2025, from an area of the United States that is experiencing a substantial measles outbreak.",https://www.muni.org/Departments/health/PressReleases/Pages/Measles-Case-Confirmed_10-16-2025.aspx,
2020,Anchorage,Alaska,-149.1082,61.1498,289069,2,1,1,0,2,0,0,county,0,1,1,0,,,5/22/25,, The individual is a minor who has not been vaccinated against measles.,https://www.muni.org/Departments/health/PressReleases/Pages/Measles-Case-Confirmed_5-22-2025.aspx,
2122,Kenai Peninsula,Alaska,-151.5651,60.2654,59843,1,1,0,0,1,0,0,county,0,0,1,0,0.87,0.85-0.90,1/21/25,,"Initial case: The unvaccinated adult, flight from Seattle",https://drive.google.com/file/d/13bCFrXt4olDFd-nMgk8miC2J8Gko3PBi/view,
2020,Anchorage,Alaska,-149.1082,61.1498,289069,1,1,0,0,1,0,0,county,0,0,1,0,,,1/16/25,,an unvaccinated adult who was traveling back home to Alaska from an overseas trip,https://alaska.access.preservica.com/uncategorized/IO_3bdc61d3-e4db-48c5-95f1-ae26565981e8/,
4005,Coconino,Arizona,-111.7705,35.8387,144643,1,0,1,0,0,1,0,county,0,0,0,1,,,12/30/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4013,Maricopa,Arizona,-112.4915,33.349,4491987,1,0,1,0,0,1,0,county,0,0,0,1,,,1/20/26,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,231,0,231,0,224,7,0,county,0,155,76,0,,,1/27/26,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,222,0,222,0,216,6,0,county,0,147,75,0,,,1/20/26,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,217,0,217,0,211,6,0,county,0,147,70,0,,,1/13/26,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,214,0,214,0,208,6,0,county,0,144,70,0,,,12/31/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,200,0,200,0,200,0,0,county,0,0,129,71,,,12/30/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,191,0,191,0,191,0,0,county,0,0,120,71,,,12/23/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,186,0,186,0,186,0,0,county,0,0,120,66,,,12/16/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,172,0,172,0,172,0,0,county,0,0,0,172,,,12/9/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,151,0,151,0,1,150,0,county,0,0,0,151,,,12/2/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,149,0,149,0,1,148,0,county,0,0,0,149,,,11/25/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,133,0,133,0,1,132,0,county,0,0,0,133,,,11/18/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,124,0,124,0,1,123,0,county,0,0,0,124,,,11/11/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,107,0,107,0,1,106,0,county,0,0,0,107,,,11/4/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,93,0,93,0,1,92,0,county,0,0,0,93,,,10/28/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,80,0,80,0,1,79,0,county,0,0,0,80,,,10/21/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,73,0,73,0,1,72,0,county,0,0,0,73,,,10/14/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,59,0,59,0,1,58,0,county,0,0,0,59,,,10/7/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,55,0,55,0,1,54,0,county,0,0,0,55,,,9/30/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,48,0,48,0,1,47,0,county,0,0,0,48,,,9/23/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,42,0,42,0,1,41,0,county,0,0,0,42,,,9/16/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,30,0,30,0,1,29,0,county,0,0,0,30,,,9/9/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,24,0,24,0,1,23,0,county,0,0,0,24,,,9/2/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,12,0,12,0,1,11,0,county,0,0,0,12,,,8/26/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,9,0,9,0,1,8,0,county,0,0,0,9,,,8/19/25,,,https://www.azdhs.gov/preparedness/epidemiology-disease-control/index.php?utm_medium=email&utm_source=govdelivery#data-stats,
4015,Mohave,Arizona,-113.7579,35.7041,217420,1,0,1,0,1,0,0,county,0,0,0,1,,,8/12/25,,they are an unvaccinated individual with no significant travel history.,https://www.mohave.gov/news-notices/posts/measles-case-within-mohave-county-update/,
